berkas	judul resmi	penerbit	tahun	isbn	alamat unduh	tanggal unduh
buku-siswa-ipa-kelas-7-daftar-isi.txt	Ilmu Pengetahuan Alam untuk SMP/MTs Kelas VII (Edisi Revisi)	Pusat Perbukuan, Badan Standar, Kurikulum, dan Asesmen Pendidikan, Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi	2023	978-623-118-457-3	https://buku.kemendikdasmen.go.id	2026-09-20
buku-siswa-ipa-kelas-8-daftar-isi.txt	Ilmu Pengetahuan Alam untuk SMP/MTs Kelas VIII (Edisi Revisi)	Pusat Perbukuan, Badan Standar, Kurikulum, dan Asesmen Pendidikan, Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi	2023	978-623-388-560-7	https://buku.kemendikdasmen.go.id	2026-09-20
buku-siswa-mat-kelas-7-daftar-isi.txt	Matematika untuk SMP/MTs Kelas VII	Pusat Kurikulum dan Perbukuan, Badan Penelitian dan Pengembangan dan Perbukuan, Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi	2021	978-602-244-883-9	https://buku.kemendikdasmen.go.id	2026-09-20
buku-siswa-ind-kelas-7-daftar-isi.txt	Bahasa Indonesia untuk SMP/MTs Kelas VII (Edisi Revisi)	Pusat Perbukuan, Badan Standar, Kurikulum, dan Asesmen Pendidikan, Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi	2023	978-623-118-368-2	https://buku.kemendikdasmen.go.id	2026-09-20
buku-siswa-ind-kelas-8-daftar-isi.txt	Bahasa Indonesia untuk SMP/MTs Kelas VIII (Edisi Revisi)	Pusat Perbukuan, Badan Standar, Kurikulum, dan Asesmen Pendidikan, Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi	2024	978-623-388-142-5	https://buku.kemendikdasmen.go.id	2026-09-20
buku-siswa-eng-kelas-7-daftar-isi.txt	English for Nusantara untuk SMP/MTs Kelas VII	Pusat Perbukuan, Badan Standar, Kurikulum, dan Asesmen Pendidikan, Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi	2022	978-602-244-885-3	https://buku.kemendikdasmen.go.id	2026-09-20
buku-siswa-eng-kelas-8-daftar-isi.txt	English for Nusantara untuk SMP/MTs Kelas VIII	Pusat Perbukuan, Badan Standar, Kurikulum, dan Asesmen Pendidikan, Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi	2022	978-602-427-941-7	https://buku.kemendikdasmen.go.id	2026-09-20
buku-siswa-eng-kelas-9-daftar-isi.txt	English for Nusantara untuk SMP/MTs Kelas IX	Pusat Perbukuan, Badan Standar, Kurikulum, dan Asesmen Pendidikan, Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi	2022	978-602-427-942-4	https://buku.kemendikdasmen.go.id	2026-09-20
buku-siswa-ips-kelas-7-daftar-isi.txt	Ilmu Pengetahuan Sosial untuk SMP/MTs Kelas VII (Edisi Revisi)	Pusat Perbukuan, Badan Standar, Kurikulum, dan Asesmen Pendidikan, Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi	2023	978-623-118-437-5	https://buku.kemendikdasmen.go.id	2026-09-20
